"geneSymbol","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"ACSM3",129,286,358,1074,213,42
"ACSM4",0,0,0,0,0,0
"ACSM5",0,0,0,3,0,0
"ACSM6",1,0,0,0,0,0
"ACSS1",2463,1036,1373,1144,813,1184
"ACSS2",134,915,232,251,912,783
"ACSS3",0,1,1,1,0,1
"ACTA1",4,0,2,0,4,10
"ACTA2",52,110,144,26,186,85
"ACTA2-AS1",4,0,0,1,7,3
"ACTB",38548,21081,55349,35524,114663,82704
"ACTBL2",0,0,0,0,0,1
"ACTC1",0,0,0,1,0,1
"ACTG1",31404,66270,64919,28310,47090,45056
"ACTG1P17",11,6,14,9,24,14
"ACTG1P20",107,66,139,107,64,140
"ACTG1P4",19,14,2,3,6,2
"ACTG2",1,2,1,1,2,0
"ACTL10",3,2,3,1,11,1
"ACTL6A",553,228,507,450,861,669
"ACTL6B",0,1,3,4,9,0
"ACTL7A",0,0,0,2,0,0
"ACTL7B",1,0,2,1,1,0
"ACTL8",0,0,0,1,182,1
"ACTL9",0,0,0,0,0,1
"ACTN1",1119,1304,985,2013,19225,10846
"ACTN1-AS1",4,7,6,7,11,7
"ACTN2",1,1,0,10,18,0
"ACTN3",2,2,0,3,1,1
"ACTN4",3579,7062,4475,3067,7933,11598
"ACTR10",567,641,563,833,776,632
"ACTR1A",1790,1950,1607,2305,2384,2610
"ACTR1B",1383,8601,2111,1409,2457,1442
"ACTR2",6409,5622,955,7405,9461,5155
"ACTR3",3336,2152,3324,5257,7002,4951
"ACTR3B",131,106,35,77,211,82
"ACTR3BP2",0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0
"ACTR3C",14,30,14,9,16,35
"ACTR5",442,380,420,298,390,453
"ACTR6",224,254,103,262,293,366
"ACTR8",487,534,140,450,700,603
"ACTRT1",0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0
"ACTRT3",28,36,89,29,93,51
"ACVR1",81,303,34,47,599,606
"ACVR1B",600,617,121,313,156,294
"ACVR1C",10,1,2,2,3,3
"ACVR2A",22,12,3,11,39,23
"ACVR2B",23,9,114,94,369,651
"ACVR2B-AS1",2,1,14,13,10,27
"ACVRL1",6,2,4,5,1,207
"ACY1",1,1,3,7,15,1
"ACY3",173,18,2,15,13,5
"ACYP1",150,42,260,54,255,313
"ACYP2",91,93,37,58,104,127
"ADA",1210,2027,308,811,950,93
"ADAD1",0,0,0,1,0,0
"ADAD2",0,5,0,0,1,3
"ADAL",103,86,267,105,430,211
"ADAM10",1216,1387,308,896,2677,1104
"ADAM11",322,51,25,22,13,91
"ADAM12",20,9,4,6,12,26
"ADAM15",629,1565,3691,753,1087,1360
"ADAM17",740,1149,736,1435,426,641
"ADAM18",0,0,0,0,0,0
"ADAM19",267,130,71,635,158,155
"ADAM1A",179,45,10,33,185,225
