"geneSymbol","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"NCK1",689,826,264,694,461,337
"NCK1-AS1",40,38,4,20,141,77
"NCK2",517,844,95,248,979,1056
"NCKAP1",13,10,42,508,1934,320
"NCKAP1L",3858,4042,857,2706,4838,5378
"NCKAP5",0,0,1,0,1,0
"NCKAP5L",292,952,113,449,560,753
"NCKIPSD",121,125,385,314,995,383
"NCL",12976,6966,9369,14912,20117,11322
"NCLN",1476,1552,1530,2060,2212,1718
"NCMAP",0,28,1,2,0,0
"NCOA1",1391,1186,485,1099,1194,1428
"NCOA2",879,895,413,1169,772,715
"NCOA3",1426,2520,426,1878,1089,990
"NCOA4",4288,11155,6252,12106,8194,3836
"NCOA5",530,299,253,993,805,721
"NCOA6",1238,1158,462,1360,1276,1337
"NCOA7",984,1410,1343,441,792,671
"NCOA7-AS1",1,1,0,3,2,1
"NCOR1",1634,2346,1485,2605,4235,3485
"NCOR1P1",0,0,0,2,1,0
"NCOR2",2646,5382,1738,3062,4876,1662
"NCR1",4,8,2,23,39,3
"NCR2",0,7,123,0,5,0
"NCR3",5,28,3,28,86,56
"NCR3LG1",73,18,51,119,67,75
"NCRNA00250",0,1,0,1,0,0
"NCRUPAR",0,0,0,1,0,0
"NCS1",77,280,223,118,185,34
"NCSTN",2342,2291,851,1898,2558,1115
"NDC1",561,192,344,438,1020,666
"NDC80",479,208,624,803,724,650
"NDE1",464,677,492,622,495,692
"NDEL1",910,1927,1495,2007,732,1064
"NDFIP1",494,1662,1330,3016,2732,955
"NDFIP2",46,20,108,130,79,9
"NDFIP2-AS1",0,0,0,0,0,0
"NDN",57,0,3,5,181,266
"NDNF",0,0,0,1,0,0
"NDNL2",524,353,326,501,528,665
"NDOR1",1488,928,1421,828,1244,1272
"NDP",0,0,0,0,0,0
"NDRG1",1832,4022,1698,1502,588,1327
"NDRG2",85,105,20,51,98,14
"NDRG3",410,231,131,175,608,343
"NDRG4",7,20,9,24,21,10
"NDST1",1106,993,169,174,1254,1195
"NDST2",2063,2733,1014,1521,793,1062
"NDST3",136,0,0,7,64,892
"NDST4",0,0,0,0,0,0
"NDUFA1",952,742,830,1129,1074,893
"NDUFA10",1990,1282,1264,1395,1467,1529
"NDUFA11",945,700,1118,897,1288,1166
"NDUFA12",549,238,319,389,505,449
"NDUFA13",1488,990,1612,1585,2345,1541
"NDUFA2",614,388,695,623,846,630
"NDUFA3",290,197,378,219,482,451
"NDUFA4",2470,1770,1945,2150,2512,2286
"NDUFA4L2",4,1,1,4,7,1
"NDUFA5",941,1162,542,1067,929,961
"NDUFA6",653,1160,820,876,896,645
"NDUFA6-AS1",15,10,25,21,52,84
"NDUFA7",480,281,497,395,528,335
"NDUFA8",132,90,275,265,711,425
"NDUFA9",830,499,682,1055,997,936
"NDUFAB1",507,262,427,502,751,461
"NDUFAF1",75,40,89,67,290,200
"NDUFAF2",82,42,97,148,218,87
"NDUFAF3",523,502,943,722,2966,1236
"NDUFAF4",147,46,159,267,301,141
"NDUFAF4P1",4,1,6,5,2,15
"NDUFAF5",636,531,431,646,179,313
"NDUFAF6",410,154,219,436,342,247
"NDUFAF7",209,280,143,207,258,247
"NDUFB1",332,306,399,390,549,483
"NDUFB10",661,624,570,608,940,682
"NDUFB11",1432,892,1268,1736,1729,1600
"NDUFB2",340,127,257,300,553,375
"NDUFB2-AS1",17,15,19,11,23,23
"NDUFB3",173,120,305,168,477,358
"NDUFB4",1035,1211,983,1406,1530,1098
"NDUFB5",409,632,430,436,939,798
"NDUFB6",309,173,397,338,600,487
"NDUFB7",592,294,453,492,920,686
"NDUFB8",1394,1130,1059,1411,2129,1509
"NDUFB9",1383,1309,1907,1667,2150,1064
"NDUFC1",254,339,432,417,598,338
"NDUFC2",205,121,31,89,154,125
"NDUFC2-KCTD14",0,0,0,0,0,0
"NDUFS1",1108,1107,762,990,1485,1058
"NDUFS2",1419,1332,1084,1257,1663,1257
"NDUFS3",1770,1023,1567,1314,1388,823
"NDUFS4",519,601,394,1130,1061,726
"NDUFS5",1757,1155,1481,1479,1931,2429
"NDUFS6",616,273,518,646,957,507
"NDUFS7",441,356,544,476,968,1092
"NDUFS8",664,771,1065,628,1315,1025
"NDUFV1",2505,2044,2397,2120,2926,2075
"NDUFV2",1003,1512,1285,1773,1250,738
"NDUFV2-AS1",79,97,110,78,33,33
"NDUFV3",372,267,195,303,936,519
"NEAT1",31497,48865,39687,16589,39464,16417
"NEB",49,21,22,30,60,71
"NEBL",2,72,6,18,7,15
"NEBL-AS1",0,0,0,0,0,0
"NECAB1",0,1,27,1567,659,17
"NECAB2",1,0,0,0,2,0
"NECAB3",60,49,213,120,132,49
"NECAP1",2022,1855,2789,2126,649,1157
"NECAP2",848,892,631,754,1387,788
"NEDD1",419,409,454,886,781,446
"NEDD4",474,434,146,465,733,582
"NEDD4L",79,177,530,1851,606,526
"NEDD8",396,286,324,376,568,360
"NEDD8-MDP1",0,0,0,0,0,0
"NEDD9",183,497,75,197,69,215
"NEFH",8,2,19,146,651,41
"NEFL",0,0,0,0,1,0
"NEFM",0,0,0,0,0,0
"NEGR1",1139,447,5,12,0,2
"NEGR1-IT1",0,0,0,0,0,0
"NEIL1",194,134,111,1310,259,472
"NEIL2",103,228,40,103,143,157
"NEIL3",68,17,94,94,98,86
"NEK1",227,206,320,200,318,411
"NEK10",20,6,0,3,5,16
"NEK11",45,12,19,8,16,12
"NEK2",291,176,967,465,533,320
"NEK3",346,238,125,153,104,154
"NEK4",275,293,381,295,329,339
"NEK5",2,12,1,3,13,8
"NEK6",231,1163,40,136,617,624
"NEK7",346,953,368,671,931,955
"NEK8",145,115,78,121,229,230
"NEK9",1067,911,736,1133,2767,922
"NELFA",622,578,734,710,597,527
"NELFB",1186,1081,952,925,2040,1582
"NELFCD",2600,1501,1672,1953,1638,1585
"NELFE",811,949,1110,754,1281,884
"NELL1",0,0,0,0,0,0
"NELL2",351,21,12,122,26,31
"NEMF",1337,1603,618,2092,989,1374
"NEMP1",1250,751,832,654,1123,1480
"NEMP2",211,172,75,174,399,311
"NENF",776,568,874,687,676,69
"NEO1",101,93,187,373,3065,10328
"NES",0,119,4,1,26,78
"NET1",1694,3471,3692,4615,2893,4416
"NETO1",2,1,0,2,3,3
"NETO2",124,40,66,36,52,37
"NEU1",486,1070,1241,337,562,548
"NEU2",0,0,0,0,0,0
"NEU3",389,300,122,464,368,513
"NEU4",158,7822,1079,1790,109,673
"NEURL1",8,6,22,18,124,44
"NEURL1-AS1",0,0,0,0,0,0
"NEURL1B",58,355,769,156,57,243
"NEURL2",34,62,20,19,96,159
"NEURL3",2,1,3,6,0,0
"NEURL4",1090,1026,733,346,834,1209
"NEUROD1",0,0,0,0,0,0
"NEUROD2",0,1,1,0,0,1
"NEUROD4",0,1,0,0,0,0
"NEUROD6",0,0,0,0,0,0
"NEUROG1",0,0,0,1,1,0
"NEUROG2",6,2,5,1,0,0
"NEUROG3",0,0,0,0,0,0
"NEXN",59,4,2,19,350,19
"NEXN-AS1",3,3,0,4,33,4
"NF1",1184,2141,414,474,889,1356
"NF1P2",0,0,0,0,0,0
"NF2",593,519,415,449,553,567
"NFAM1",32,65,144,376,203,159
"NFASC",0,2,0,3,0,80
"NFAT5",1747,3699,1236,3784,1973,2842
"NFATC1",204,1008,326,435,731,136
"NFATC2",370,1015,269,655,796,604
"NFATC2IP",2214,1949,2847,1470,2226,2310
"NFATC3",1637,2192,827,1930,2084,3356
"NFATC4",3,7,3,137,165,5
"NFE2",1641,1787,1912,3662,6599,1431
"NFE2L1",1962,1621,1386,2163,2200,1984
"NFE2L2",1137,2423,551,957,409,632
"NFE2L3",109,82,131,87,248,795
"NFE4",0,1,2,4,6,1
"NFIA",144,52,436,517,165,17
"NFIA-AS1",1,0,1,3,2,0
"NFIA-AS2",0,0,0,1,1,0
"NFIB",1,1,2,3,73,13
"NFIC",746,1532,1046,289,394,322
"NFIL3",2243,7824,1310,2139,883,2179
"NFIX",533,9161,1426,1061,2354,754
"NFKB1",1438,2081,1440,3583,929,1464
"NFKB2",1493,2410,2528,2070,774,710
"NFKBIA",8906,6755,16378,6660,5475,3691
"NFKBIB",936,992,1670,1048,584,616
"NFKBID",608,1476,485,852,177,174
"NFKBIE",1203,1155,1206,1414,308,446
"NFKBIL1",174,291,223,282,543,381
"NFKBIZ",3782,2400,7858,2990,3686,6466
"NFRKB",1578,1859,636,1219,1329,2125
"NFS1",139,68,172,188,298,256
"NFU1",331,574,217,223,596,514
"NFX1",1667,1990,608,1741,1033,898
"NFXL1",164,143,41,143,165,265
"NFYA",832,569,707,398,1054,1044
"NFYB",1034,394,479,608,766,605
"NFYC",562,509,416,556,1077,1209
"NFYC-AS1",18,16,13,17,40,71
"NGB",0,0,0,1,0,0
"NGDN",1440,1005,1192,1481,900,963
"NGEF",2,1,3,1,19,2
"NGF",0,0,0,0,0,0
"NGFR",9,9,8,3,20,5
"NGFRAP1",426,1206,594,719,1953,1103
"NGLY1",1042,884,676,1839,1203,1545
"NGRN",817,818,814,738,1029,979
"NHEG1",0,0,0,0,0,0
"NHEJ1",118,109,102,148,374,641
"NHLH1",1,3,1,2,2,3
"NHLH2",0,0,0,0,1,26
"NHLRC1",32,11,37,37,8,22
"NHLRC2",1152,1177,507,801,853,632
"NHLRC3",1650,794,193,547,764,1016
"NHLRC4",70,95,201,132,152,20
"NHP2",1038,573,794,953,1895,1132
"NHS",3,0,3,3,6,5
"NHS-AS1",0,0,0,0,0,0
"NHSL1",19,209,22,22,46,1180
"NHSL2",13,3,6,7,29,9
"NICN1",472,322,211,230,538,458
"NID1",168,22,27,5137,4367,20
"NID2",137,47,40,170,51,76
"NIF3L1",222,86,118,181,411,258
"NIFK",375,381,166,317,504,455
"NIFK-AS1",34,51,35,49,149,116
"NIM1K",4,9,5,6,3,11
"NIN",3187,2631,1668,1835,1985,7913
"NINJ1",532,1706,1370,1524,484,766
"NINJ2",217,173,117,146,351,720
"NINL",8,1,9,40,13,703
"NIP7",655,384,472,414,526,248
"NIPA1",410,405,75,339,353,332
"NIPA2",837,625,415,1425,863,909
"NIPAL1",0,1,0,5,0,3
"NIPAL2",277,107,104,176,348,242
"NIPAL3",553,644,228,152,724,703
"NIPAL4",6,9,85,25,2,7
"NIPBL",2442,3267,1772,5192,1794,2791
"NIPBL-AS1",1336,1025,610,814,690,653
"NIPSNAP1",893,575,285,422,957,22
"NIPSNAP3A",1178,862,645,1205,1703,789
"NIPSNAP3B",853,141,104,317,548,187
"NISCH",1928,1708,1825,1856,1960,3928
"NIT1",269,398,155,246,664,439
"NIT2",777,551,282,641,1224,859
"NKAIN1",1,4,0,1,4,1
"NKAIN2",0,23,5,2,0,0
"NKAIN3",1,0,1,0,0,10
"NKAIN4",0,0,0,3,0,5
"NKAP",260,325,217,440,399,294
"NKAPL",0,0,0,2,1,1
"NKAPP1",97,29,86,120,89,70
"NKD1",119,1055,7,94,34,607
"NKD2",1281,11,6,11,27,1
"NKG7",1258,542,225,1141,338,208
"NKILA",0,11,0,3,0,2
"NKIRAS1",47,70,14,53,78,45
"NKIRAS2",1241,1011,670,1107,1259,1109
"NKPD1",25,10,10,19,11,22
"NKRF",349,286,383,465,213,287
"NKTR",10111,9985,3816,8916,4518,6288
"NKX1-1",0,0,0,0,0,0
"NKX1-2",0,0,0,0,0,0
"NKX2-1",0,0,0,0,0,0
"NKX2-1-AS1",0,0,0,0,0,0
"NKX2-2",0,0,0,0,0,0
"NKX2-3",0,70,1213,0,0,1
"NKX2-4",0,1,0,0,0,0
"NKX2-5",0,0,0,0,0,0
"NKX2-6",0,0,0,0,0,0
"NKX2-8",0,0,0,0,0,0
"NKX3-1",22,19,275,134,110,5
"NKX3-2",0,0,0,1,0,2
"NKX6-1",0,1,2,0,0,0
"NKX6-2",0,1,0,0,1,0
"NKX6-3",0,0,0,2,1,0
"NLE1",367,225,272,383,658,400
"NLGN1",0,0,1,147,87,1
"NLGN1-AS1",0,0,0,1,1,0
"NLGN2",30,149,71,32,300,259
"NLGN3",128,152,35,198,31,124
"NLGN4X",0,0,0,1,0,4
"NLGN4Y",0,0,0,0,0,0
"NLGN4Y-AS1",0,0,0,0,0,0
"NLK",405,641,178,340,3122,3148
"NLN",247,39,66,167,518,216
"NLRC3",957,1474,110,748,695,726
"NLRC4",17,6,3,51,37,27
"NLRC5",1778,1528,576,2880,2684,1842
"NLRP1",1187,2151,205,1402,604,1230
"NLRP10",0,0,0,0,0,0
"NLRP11",0,0,0,0,2,1
"NLRP12",2,10,4,18,21,15
"NLRP13",0,0,0,0,0,0
"NLRP14",0,0,0,0,0,0
"NLRP2",32,15,43,50,937,7
"NLRP3",542,1220,176,364,338,410
"NLRP4",0,0,1,0,0,0
"NLRP5",0,0,0,0,1,0
"NLRP6",15,30,18,9,31,38
"NLRP7",1,9,0,4,3,3
"NLRP8",0,0,0,0,0,0
"NLRP9",11,8,1,11,14,26
"NLRX1",364,486,324,262,998,582
"NMB",90,54,58,87,116,36
"NMBR",0,0,0,0,0,1
"NMD3",1710,1944,1416,2035,1661,1235
"NME1",165,56,146,183,439,254
"NME1-NME2",0,1,0,0,0,0
"NME2",16,8,19,5,18,28
"NME3",270,524,693,255,427,298
"NME4",2531,1461,4493,2936,2663,665
"NME5",0,1,1,0,9,12
"NME6",175,179,67,123,352,256
"NME7",126,124,73,95,204,125
"NME8",17,9,35,24,45,2
"NME9",70,28,16,50,80,207
"NMI",656,623,436,1193,1766,430
"NMNAT1",70,60,30,68,184,148
"NMNAT2",0,0,0,0,1,0
"NMNAT3",147,61,518,213,423,169
"NMRAL1",428,295,199,324,1041,694
"NMRK1",217,55,145,141,140,185
"NMRK2",1,2,0,2,35,7
"NMS",0,0,0,0,3,0
"NMT1",956,1088,747,1569,1978,2076
"NMT2",124,15,47,746,248,116
"NMU",79,25,7,61,1,1
"NMUR1",7,7,5,13,8,2
"NMUR2",0,0,0,0,0,0
"NNAT",87,38,41,50,48,162
"NNMT",11,5,43,47,80,31
"NNT",1581,962,1038,1374,2541,3272
"NNT-AS1",26,8,29,38,159,163
"NOA1",823,1034,438,829,784,860
"NOB1",1225,1079,611,1125,1331,749
"NOBOX",0,0,0,1,0,0
"NOC2L",1520,812,1090,1218,2087,1436
"NOC3L",206,87,121,298,468,426
"NOC4L",378,221,478,309,533,407
"NOCT",506,725,1491,360,157,268
"NOD1",708,272,133,465,497,450
"NOD2",102,43,77,345,47,60
"NODAL",17,10,8,11,10,10
"NOG",9,23,2,24,44,8
"NOL10",429,297,331,635,719,502
"NOL11",1518,987,763,1759,1182,1745
"NOL12",482,253,207,382,539,546
"NOL3",5,11,14,8,22,38
"NOL4",0,0,0,0,0,0
"NOL4L",2045,2630,563,2631,3063,3536
"NOL6",1474,914,736,913,1522,1196
"NOL7",867,723,595,887,1291,740
"NOL8",1026,928,429,955,1439,1146
"NOL9",921,540,475,706,439,516
"NOLC1",2900,654,2565,2290,5015,2612
"NOM1",811,237,592,631,682,669
"NOMO1",613,264,154,296,583,780
"NOMO2",222,209,79,173,357,291
"NOMO3",0,0,0,0,0,0
"NONO",10736,10577,8086,11415,10820,11161
"NOP10",635,607,1132,978,1309,945
"NOP14",1066,834,486,973,1110,707
"NOP14-AS1",59,174,153,62,176,100
"NOP16",427,117,214,195,574,252
"NOP2",1808,976,1944,861,1347,1615
"NOP56",2437,899,2290,1226,4203,3293
"NOP58",2465,1491,2356,2862,3300,2597
"NOP9",686,522,737,431,768,871
"NOS1",0,0,0,0,2,0
"NOS1AP",1,1,1,47,248,1502
"NOS2",0,1,0,1,1,2
"NOS3",1,0,15,14,5,1
"NOSIP",459,433,361,826,1562,945
"NOSTRIN",18,6,21,58,49,67
"NOTCH1",4105,7390,635,1119,2105,2302
"NOTCH2",2363,1334,319,911,1791,270
"NOTCH2NL",112,301,84,182,205,139
"NOTCH3",11,2715,28,25,55,25
"NOTCH4",12,12,29,29,33,45
"NOTO",0,0,0,0,1,0
"NOTUM",0,3,4,5,18,1
"NOV",8,1227,1106,6,1,1
"NOVA1",0,0,0,1,0,0
"NOVA2",1,0,0,0,0,0
"NOX1",2,2,5,3,7,10
"NOX3",0,0,0,0,0,0
"NOX4",0,0,0,1,0,0
"NOX5",0,0,2,6,0,34
"NOXA1",57,586,148,77,72,42
"NOXO1",40,15,18,42,25,40
"NOXRED1",23,22,2,4,12,22
"NPAP1",0,0,0,0,0,0
"NPAS1",4,17,12,11,11,8
"NPAS2",8,11,2,7,2,2
"NPAS3",0,0,0,3,1,5
"NPAS4",0,0,5,0,5,0
"NPAT",461,557,393,469,469,397
"NPB",9,5,3,7,18,21
"NPBWR1",0,3,1,0,0,0
"NPBWR2",0,0,0,0,0,0
"NPC1",346,495,130,191,279,295
"NPC1L1",1,2,4,2,19,9
"NPC2",1250,1225,553,718,709,496
"NPDC1",4,1002,40,55,37,42
"NPEPL1",41,35,17,18,24,20
"NPEPPS",1948,3684,793,2057,1513,2049
"NPFF",51,32,15,35,40,75
"NPFFR1",0,0,0,0,1,0
"NPFFR2",0,0,0,0,0,0
"NPHP1",3,7,6,5,1,18
"NPHP3",99,148,32,99,108,159
"NPHP3-ACAD11",10,12,4,2,12,15
"NPHP3-AS1",0,1,2,2,1,6
"NPHP4",173,528,304,246,482,656
"NPHS1",0,0,1,3,0,1
"NPHS2",2,0,0,0,0,0
"NPIPA1",121,61,70,94,98,240
"NPIPA2",0,0,0,0,0,0
"NPIPA3",0,0,0,0,0,0
"NPIPA5",32,17,89,30,65,1
"NPIPA7",0,0,0,0,0,0
"NPIPA8",0,0,0,0,0,0
"NPIPB11",21,13,12,18,18,21
"NPIPB15",128,78,24,52,65,197
"NPIPB3",198,112,142,186,90,155
"NPIPB4",92,76,138,100,92,95
"NPIPB5",71,39,54,80,29,149
"NPIPB6",2,1,1,8,5,6
"NPIPB8",1,0,0,0,0,0
"NPIPB9",5,2,0,6,2,11
"NPL",130,62,651,374,2035,347
"NPLOC4",2197,2119,1318,2390,2283,2840
"NPM1",10900,13294,9632,17927,19728,8537
"NPM2",58,131,40,7,137,108
"NPM3",363,512,424,393,695,257
"NPNT",1,0,1,4,36,0
"NPPA",6,2,8,25,7,10
"NPPA-AS1",10,1,2,11,3,8
"NPPB",3,0,0,2,0,0
"NPPC",1,5,33,9,3,1
"NPR1",0,0,0,2,2,5
"NPR2",47,25,34,17,56,189
"NPR3",2430,887,29,89,2129,687
"NPRL2",317,254,274,291,465,432
"NPRL3",532,448,2552,1027,1133,449
"NPS",0,0,0,0,0,0
"NPSR1",0,0,0,0,0,0
"NPSR1-AS1",0,0,0,0,0,0
"NPTN",339,495,290,650,817,576
"NPTN-IT1",24,27,36,56,38,24
"NPTX1",3,6890,17,17,1,2
"NPTX2",2,28,3,7,0,0
"NPTXR",7,1,3,20,15,15
"NPVF",0,0,0,0,0,0
"NPW",62,61,81,144,312,4
"NPY",0,0,1,42,0,0
"NPY1R",1,0,0,1,7,0
"NPY2R",0,0,0,0,0,0
"NPY4R",0,0,0,0,0,0
"NPY5R",0,0,0,0,0,0
"NPY6R",7,5,0,2,7,1
"NQO1",31,28,10,12,69,29
"NQO2",244,220,273,279,701,851
"NR0B1",0,0,0,0,0,0
"NR0B2",1,0,1,2,1,1
"NR1D1",60,13,31,57,77,66
"NR1D2",1678,339,580,2348,387,1676
"NR1H2",2151,2746,2504,1607,1226,1490
"NR1H3",87,281,70,193,840,293
"NR1H4",0,0,0,0,0,3
"NR1I2",21,17,13,12,15,87
"NR1I3",5,3,3,7,7,8
"NR2C1",1711,956,663,1253,769,1076
"NR2C2",2653,2171,748,1621,1926,3227
"NR2C2AP",95,50,154,84,191,145
"NR2E1",0,0,0,0,0,1
"NR2E3",3,1,1,0,2,10
"NR2F1",6,1,8,12,0,0
"NR2F1-AS1",1,0,3,1,1,0
"NR2F2",0,0,3,7,7,0
"NR2F2-AS1",0,0,0,0,0,0
"NR2F6",180,123,191,430,849,625
"NR3C1",1583,1551,1090,2110,765,735
"NR3C2",19,6,4,11,20,83
"NR4A1",1200,2205,516,959,1387,1021
"NR4A2",1617,2004,2736,922,753,4528
"NR4A3",382,647,130,180,36,1165
"NR5A1",10,33,1,2,13,1
"NR5A2",1,0,4,3,0,0
"NR6A1",6,821,35,41,44,126
"NRADDP",17,22,10,18,25,112
"NRAP",0,0,0,0,0,0
"NRARP",30,59,134,30,24,22
"NRAS",3348,2314,1967,3244,2612,1963
"NRAV",12,13,53,15,50,62
"NRBF2",348,342,100,540,163,134
"NRBP1",3089,2294,2599,2776,2977,1725
"NRBP2",78,335,621,117,248,51
"NRCAM",49,1,4,9,6,27
"NRD1",2625,2496,2821,2354,5455,4161
"NRDE2",232,261,142,380,204,286
"NREP",1693,218,188,1729,3467,2719
"NREP-AS1",0,0,0,0,0,0
"NRF1",429,393,259,586,456,486
"NRG1",0,0,0,5,15,2
"NRG1-IT1",0,0,0,0,0,0
"NRG1-IT3",0,0,0,0,0,0
"NRG2",0,1,4,1,4,1
"NRG3",0,0,1,4,0,0
"NRG3-AS1",0,0,0,0,0,0
"NRG4",38,377,35,27,35,31
"NRGN",86,343,177,385,15216,2084
"NRIP1",1346,3456,365,3215,3097,1577
"NRIP2",207,119,86,189,125,178
"NRIP3",306,287,2092,279,67,193
"NRIR",18,10,112,46,42,9
"NRK",1,0,1,0,0,1
"NRL",13,17,16,23,14,39
"NRM",381,390,294,438,523,553
"NRN1",0,1,0,4,3,1
"NRN1L",71,19,22,23,16,33
"NRON",0,0,1,0,0,0
"NRP1",191,13,12,102,338,1446
"NRP2",36,9,25,11,53,15
"NRROS",3047,862,140,1161,1262,298
"NRSN1",0,0,1,0,0,0
"NRSN2",86,199,14,150,333,132
"NRSN2-AS1",33,65,21,17,48,18
"NRTN",1,8,7,19,10,1
"NRXN1",0,0,1,1,0,0
"NRXN2",16,29,17,47,93,17
"NRXN3",1,0,2,7,1,0
"NSA2",1926,1926,1006,2052,1712,1252
"NSD1",2941,1713,648,2321,3758,3138
"NSDHL",150,214,364,225,412,179
"NSF",315,311,169,252,450,738
"NSFL1C",1333,828,1743,1437,1375,1670
"NSFP1",0,0,0,0,0,0
"NSG1",13,2,4,10,13,6
"NSL1",571,415,295,571,666,469
"NSMAF",1570,1658,405,868,1169,780
"NSMCE1",339,294,382,382,1289,397
"NSMCE2",228,274,237,275,289,256
"NSMCE4A",871,468,457,613,955,693
"NSMF",311,3169,726,1010,1031,558
"NSRP1",502,756,194,422,457,346
"NSUN2",1724,890,1195,1847,1963,2330
"NSUN3",204,126,38,158,80,98
"NSUN4",549,524,487,528,527,697
"NSUN5",406,362,305,447,629,452
"NSUN5P1",551,304,141,338,499,893
"NSUN5P2",23,8,1,5,27,40
"NSUN6",516,294,240,413,627,343
"NSUN7",5,11,5,39,0,26
"NT5C",868,1340,752,715,995,568
"NT5C1A",1,0,0,2,0,0
"NT5C1B",0,1,0,1,2,0
"NT5C1B-RDH14",0,0,0,0,0,0
"NT5C2",2030,3241,743,2325,1843,2036
"NT5C3A",737,1160,327,1509,3073,1284
"NT5C3B",45,228,72,68,532,363
"NT5DC1",195,150,185,264,461,170
"NT5DC2",360,316,712,463,1513,366
"NT5DC3",166,255,269,195,99,76
"NT5E",18,91,11,21,23,8
"NT5M",437,208,652,903,1191,318
"NTAN1",187,156,155,280,322,220
"NTF3",0,0,0,1,0,0
"NTF4",0,0,0,1,0,1
"NTHL1",34,145,74,133,644,459
"NTM",0,0,0,12,7,2
"NTM-IT",0,0,0,0,1,0
"NTMT1",99,147,103,171,181,37
"NTN1",64,405,26,45,46,10
"NTN3",1,1,5,1,10,5
"NTN4",5,0,0,1,0,0
"NTN5",10,14,6,5,3,6
"NTNG1",2,0,0,0,13,159
"NTNG2",193,403,590,340,38,16
"NTPCR",153,202,136,165,310,248
"NTRK1",228,2664,51,75,2077,41
"NTRK2",5,0,9,2,0,1
"NTRK3",0,0,0,2,5,0
"NTRK3-AS1",0,0,0,0,0,0
"NTS",0,2,0,0,4,0
"NTSR1",11,19,1,25,0,8
"NTSR2",0,0,0,0,0,0
"NUAK1",6,1,1,21,2,82
"NUAK2",154,16,60,232,41,39
"NUB1",1335,1253,383,1151,1079,917
"NUBP1",248,205,202,386,229,181
"NUBP2",556,353,567,464,1087,840
"NUBPL",144,93,57,86,136,177
"NUCB1",2601,2297,2034,2639,4817,3050
"NUCB1-AS1",1,1,0,0,0,1
"NUCB2",3690,1314,2878,5708,5467,2707
"NUCKS1",3778,3135,3001,5229,5863,4720
"NUDC",1343,1038,2029,1498,2917,1508
"NUDCD1",225,198,96,190,575,360
"NUDCD2",405,235,286,354,565,508
"NUDCD3",780,666,652,690,1462,1193
"NUDT1",507,508,922,557,1058,463
"NUDT10",1,0,11,6,0,0
"NUDT11",1,1,24,33,8,31
"NUDT12",105,68,26,65,176,50
"NUDT13",141,71,50,79,277,187
"NUDT14",12,70,37,102,123,12
"NUDT15",656,193,245,513,444,379
"NUDT16",925,573,303,187,680,141
"NUDT16L1",527,1107,295,252,512,432
"NUDT16P1",12,0,37,43,19,0
"NUDT17",133,163,55,118,139,69
"NUDT18",91,156,82,106,226,231
"NUDT19",313,223,192,392,375,214
"NUDT2",310,149,162,262,467,328
"NUDT21",2928,1842,1714,2490,3464,2622
"NUDT22",380,267,189,237,726,738
"NUDT3",77,123,76,169,171,199
"NUDT4",1149,634,1996,1485,903,660
"NUDT4P1",0,0,0,0,0,0
"NUDT4P2",0,0,0,0,0,0
"NUDT5",441,556,265,288,764,568
"NUDT6",20,10,11,13,43,30
"NUDT7",94,19,12,26,16,24
"NUDT8",25,26,337,51,106,38
"NUDT9",111,75,141,153,573,364
"NUDT9P1",8,2,2,2,0,1
"NUF2",391,113,779,682,479,556
"NUFIP1",287,156,154,217,164,256
"NUFIP2",8769,5594,4405,5213,2296,4736
"NUGGC",4,0,3,3,4,0
"NUMA1",4662,6155,5668,5436,4133,6229
"NUMB",1134,1744,437,1099,1456,1434
"NUMBL",106,269,608,341,278,480
"NUP107",1907,876,856,1044,1568,1428
"NUP133",1210,1120,856,1293,1246,945
"NUP153",3561,2730,4050,6050,1847,2040
"NUP155",863,674,882,1324,548,563
"NUP160",1151,754,961,1315,1126,1337
"NUP188",1561,1295,2472,1542,2046,2241
"NUP205",1999,1349,989,1428,1938,2145
"NUP210",5195,2092,6920,4961,4817,5026
"NUP210L",2,4,9,12,8,49
"NUP210P1",0,0,0,0,0,0
"NUP214",1931,3351,1421,2058,1524,1559
"NUP35",126,91,128,109,216,153
"NUP37",213,198,249,247,526,214
"NUP43",751,396,193,469,1085,1333
"NUP50",2170,1302,3395,2517,1260,1872
"NUP50-AS1",71,40,24,52,73,47
"NUP54",1117,818,1067,1983,740,1062
"NUP62",794,666,778,1544,2036,953
"NUP62CL",1,0,5,187,296,68
"NUP85",1347,947,1237,1429,1211,1137
"NUP88",652,569,553,1302,912,822
"NUP93",1245,628,1170,1703,1724,1337
"NUP98",4443,4011,2161,5360,2646,2473
"NUPL1",1001,755,1408,1877,1235,1506
"NUPL2",460,158,263,346,608,734
"NUPR1",1,0,1,6,0,0
"NUPR1L",0,0,0,1,0,0
"NUS1",674,493,476,1093,755,654
"NUSAP1",1892,970,4495,3288,2181,1588
"NUTF2",1042,651,1339,847,1391,1358
"NUTM1",1,0,1,0,2,2
"NUTM2A",36,10,4,48,32,25
"NUTM2A-AS1",301,328,120,567,262,372
"NUTM2B",22,3,15,39,22,19
"NUTM2B-AS1",198,317,130,288,377,306
"NUTM2D",29,13,2,83,40,39
"NUTM2F",0,0,0,0,0,0
"NUTM2G",7,3,4,6,7,15
"NVL",319,352,250,343,483,594
"NWD1",1,0,0,2,0,1
"NWD2",0,1,0,0,0,0
