"","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"CIB2",0.544246137941618,0.358641269936577,0.0679730181942145,2.03612032061766,1.92833861617465,-0.401122456638827
"CIC",6.34577198119703,7.53642621116857,7.4899443122726,6.53090632106963,6.07183549233932,6.28427908360046
"CIDECP",2.76995891756968,3.3514097007055,3.52740463683151,2.97953679225129,2.27387926828396,2.46172757801048
"CIITA",6.13469233798609,4.63860774150521,2.28347905394542,4.13935047772632,3.80280773409079,2.27074810930549
"CILP2",-1.04071636277954,4.15357693274011,2.15354874990029,1.63685013719713,0.0250146355863246,-2.37310808046923
"CINP",2.62347282909219,3.33194640327116,3.36075476742206,2.96850274197632,3.49734193821615,2.61645017280912
"CIPC",3.59567437674862,3.30724211742993,4.10944965417037,3.16010903789311,3.08390832463989,3.38793164867583
"CIR1",5.0198052566936,5.22456008448879,4.63816605958503,5.90662053633086,3.69499325006981,3.95020655468909
"CIRBP",8.05943726851909,8.67533009337351,8.11248857141839,7.76483822979434,7.4507615342791,7.74772792915364
"CIRBP-AS1",1.50493321391679,2.71102316136565,3.55053451167007,-0.441926976186984,-0.822982270968626,0.694636526166604
"CIRH1A",4.81966979273986,3.97687992553203,4.39789390383511,4.93983666843104,4.8619611108493,4.21992385022781
"CISD1",0.380126758180512,0.279569698945378,0.879900670041643,0.788853230642183,1.486064532622,1.31015649386373
"CISD2",3.43344749953788,3.02766803544621,4.84641524833658,4.64119953766018,3.18301646965282,2.81214857472907
"CISD3",0.380126758180512,1.40594698471493,2.50093242547032,1.14303552453417,2.34694273047369,1.87481943297436
"CISH",3.30658352181614,3.7278750796023,3.961982322506,2.61224816396405,2.88238132581175,2.42230722827685
"CIT",4.00085447771139,3.17148173107791,6.24189995019402,4.80056665120597,4.8619611108493,5.11936142050169
"CITED2",6.10344845416568,5.12346863945729,7.4159142120671,6.31867417717088,6.0857772737837,5.36264319687109
"CITED4",2.87853143934896,3.80401484758638,6.06446219939706,3.20780577992441,1.44671586514618,3.1955788805391
"CIZ1",6.55125832910094,6.79360303012383,6.64992676904303,6.30558099561089,6.2783222908047,6.66770849848181
"CKAP2",5.90104121964576,5.38307915922185,7.0342701699221,6.82275497618299,5.81862797922514,5.88101204838951
"CKAP2L",3.56542016104603,2.20128494199732,4.20365380633733,4.15646739933971,4.97460720839003,5.40167897913194
"CKAP4",1.12402839955709,-0.378324324229629,0.409009936029281,3.85774831185325,1.27762166996978,4.76958811250103
"CKAP5",5.64578416440368,5.37359161140255,6.51900091902358,6.46814973054942,7.04532586232084,6.67904191903067
"CKB",1.69857428433291,3.95159656141126,6.79195623182699,3.73940278852758,3.00483675364869,5.4047162329714
"CKM",-0.63736066854833,0.0605599170035822,0.765944480744557,0.813727899281212,1.64516656476978,0.0761993208943598
"CKMT2-AS1",1.18499641684852,-0.255467576444096,-0.379485958777007,-0.699084815684108,1.26259346073745,1.39405775147268
"CKS1B",3.04126093938707,1.91772513883213,4.3293366710435,4.00000089481101,4.2559690704262,3.55762925709366
"CKS2",3.9636400422646,3.81807288857387,6.56728742800455,5.07971352115196,5.59092768230449,5.33212553367154
"CLASP1",5.66017077203157,6.10889045092121,5.254720060964,5.86036222878062,4.96651514768274,5.73742542139184
"CLASP2",5.30601181780989,4.730664693828,4.89692047074618,5.19188378463624,4.95604392803048,5.33637344263936
"CLASRP",6.45449394181917,6.06682850595729,6.36524596828977,6.0476343086347,5.2640090242599,5.97800103983008
"CLC",-0.440323821488776,4.29849469757293,6.23030839492408,3.08547023700036,-3.5074804452407,0.694636526166604
"CLCA1",-5.99491267316641,-5.8701774205593,-5.42388007813546,2.51701036719113,3.83364121487998,-6.07354779861032
"CLCC1",3.37795238694617,3.33683689961823,3.83114849168327,2.90046522126009,4.0149609709224,3.56850389431765
"CLCF1",0.605000169020715,2.6650979560615,3.59014039217947,1.45906301798185,-0.0480488266033988,-0.518958946932685
"CLCN2",0.154834446338269,1.59742812952369,4.54334618070053,0.629863706881026,2.06454299977296,1.66116182161552
"CLCN3",3.59941193075843,3.52856627137889,5.16014286212208,4.13935047772632,4.41393548224436,3.35061849020778
